concept,qualifier,context,type
anniversary,postal,organization,date
passport,postal,user,string
weight,user,organization,float
city,marriage,shape,string
joining,address,school,date
class,,organization,string
anniversary,manager,store,date
employment,employment,customer,boolean
year,employee,government,
number,termination,location,integer
gender,customer,bank,string
grade,anniversary,government,enumeration
zip,manager,store,integer
zip,employee,employee,integer
email,social,government,string
birth,product,organization,
zip,social,employee,integer
month,order,government,
date,manager,product,date
email,address,product,string
passport,ID,store,string
exit,order,product,
month,work,bank,
status,work,customer,string
email,postal,location,string
birth,passport,organization,
name,ID,school,string
weight,termination,user,float
grade,address,university,string
employee_number,address,school,integer
height,termination,shape,float
salary,employee,store,float
city,customer,organization,string
zip,termination,user,integer
marriage,address,customer,date
salary,passport,shape,float
progress,anniversary,store,string
salary,marriage,university,float
weight,user,organization,float
gender,termination,school,string
name,address,government,string
birth,marriage,school,
date,postal,school,date
number,employment,university,integer
weight,termination,organization,float
name,geographical,organization,string
date,employee,employee,date
status,,school,string
weight,product,customer,float
status,geographical,user,string
anniversary,social,user,date
passport,geographical,shape,string
date,ID,university,date
zip,ID,school,integer
email,customer,customer,string
country,user,shape,string
date,product,organization,date
year,marriage,user,
progress,employee,bank,string
name,social,product,string
passport,postal,store,string
birth,employee,employee,
employment,passport,customer,boolean
zip,manager,shape,integer
weight,work,shape,float
date,termination,customer,date
day,work,government,
month,employment,bank,
progress,user,organization,string
employee_number,geographical,user,integer
grade,work,school,string
date,termination,product,date
grade,geographical,product,string
marriage,anniversary,customer,date
number,work,university,integer
class,work,bank,string
name,work,employee,string
number,,employee,integer
progress,order,university,string
manager_status,employee,bank,boolean
birth,employee,shape,
level,passport,employee,string
name,user,shape,string
year,social,store,
salary,user,store,float
gender,termination,government,string
joining,postal,product,date
exit,order,bank,
year,user,customer,
number,work,school,integer
weight,termination,user,float
time,product,government,string
number,employee,store,integer
month,employment,shape,
phone,work,bank,string
employment,employment,government,boolean
name,social,shape,string
termination,passport,school,date
employee_number,social,school,integer
marriage,passport,university,date
zip,social,organization,integer
birth,product,employee,
year,manager,product,
status,address,product,string
email,ID,school,string
passport,social,store,string
country,order,location,enumeration
employment,product,school,boolean
month,order,government,
ID,ID,user,integer
country,manager,bank,string
ID,anniversary,government,integer
employee_number,social,organization,integer
height,manager,school,float
phone,customer,customer,string
phone,ID,bank,string
termination,anniversary,government,date
passport,anniversary,location,string
joining,order,user,date
ID,customer,employee,integer
grade,product,bank,string
termination,employment,organization,date
height,employee,customer,float
name,work,location,string
day,anniversary,employee,
area,employee,shape,string
month,work,product,
class,geographical,user,string
anniversary,geographical,employee,date
name,termination,school,string
weight,work,university,float
area,termination,customer,string
anniversary,anniversary,location,date
class,customer,employee,string
termination,employee,university,date
progress,employee,store,string
month,postal,employee,
employment,anniversary,government,boolean
manager_status,termination,store,boolean
year,social,shape,
height,employment,product,float
number,geographical,user,integer
zip,user,shape,integer
salary,social,government,float
email,,product,string
country,anniversary,store,string
city,,employee,string
class,product,bank,string
year,customer,university,
number,address,product,integer
email,,customer,string
passport,customer,organization,string
status,postal,university,string
progress,address,shape,string
year,address,university,
